GradeDate,Firm,ToGrade,FromGrade,Action
2021-08-18 11:47:56,Morgan Stanley,Overweight,,main
2021-07-13 11:12:24,Benchmark,Sell,,init
2021-06-30 10:29:04,Citic Securities,Overweight,,init
2021-06-01 12:15:49,Truist Securities,Buy,,main
2021-05-11 14:11:08,Morgan Stanley,Overweight,,main
2021-05-07 14:52:19,LightShed Partners,Buy,,init
2021-05-04 12:54:57,JP Morgan,Overweight,,init
2021-04-05 11:21:35,Morgan Stanley,Overweight,,init
2021-04-05 11:16:35,Truist Securities,Buy,,init
2021-04-05 10:36:43,Goldman Sachs,Buy,,init
2021-04-05 10:30:57,B of A Securities,Buy,,init
2021-03-16 10:22:55,Stifel,Buy,,init
