GradeDate,Firm,ToGrade,FromGrade,Action
2017-07-17 11:32:59,Stephens & Co.,Underweight,Equal-Weight,down
2017-06-09 11:18:29,Piper Sandler,Overweight,,init
2017-02-28 14:19:10,Piper Sandler,Hold,Buy,down
2017-01-23 13:03:19,Susquehanna,Positive,,init
2016-11-01 04:00:00,Stephens & Co.,Equal-Weight,,init
2016-05-11 12:50:56,Macquarie,Neutral,,init
2016-05-04 11:13:07,Deutsche Bank,Buy,,main
2016-04-27 11:45:57,Wells Fargo,Market Perform,Outperform,down
2016-04-08 10:47:29,B of A Securities,Neutral,Buy,down
2016-02-03 18:34:10,BMO Capital,Outperform,,main
2015-11-02 17:33:12,Barclays,Overweight,,main
2015-10-30 07:31:32,Barclays,Overweight,,main
2015-09-16 12:36:08,BMO Capital,Outperform,Market Perform,up
2015-07-29 10:41:11,Credit Suisse,Outperform,Neutral,up
2015-06-30 15:58:30,Guggenheim,Buy,,init
2015-06-16 13:07:43,Goldman Sachs,Buy,Neutral,up
2015-03-26 12:09:59,Compass Point,Buy,,init
2015-03-12 10:22:25,Evercore ISI Group,Buy,Hold,up
2015-02-12 11:43:44,Bernstein,Outperform,,up
2015-02-05 11:30:47,B of A Securities,Neutral,Buy,down
2015-02-04 14:00:00,Deutsche Bank,Buy,,main
2015-02-02 14:00:00,"Keefe, Bruyette & Woods",Outperform,,main
2015-01-30 14:00:00,Citigroup,Buy,,main
2014-12-18 05:00:00,Jefferies,Buy,,init
2014-10-30 09:48:16,Deutsche Bank,Buy,Hold,up
2014-09-26 09:45:33,Wells Fargo,Outperform,,init
2014-05-20 14:35:14,Piper Sandler,Hold,,init
2014-05-20 12:15:29,Deutsche Bank,Hold,,init
2014-05-20 10:43:34,Morgan Stanley,Overweight,,init
2014-05-20 10:18:04,Evercore ISI Group,Equal-Weight,,init
2014-05-20 10:17:58,Goldman Sachs,Neutral,,init
2014-05-20 10:17:57,JP Morgan,Overweight,,init
