GradeDate,Firm,ToGrade,FromGrade,Action
2017-10-25 12:54:38,Baird,Neutral,,main
2017-10-25 11:51:14,BMO Capital,Market Perform,Outperform,down
2017-10-25 11:45:26,Stifel,Hold,,main
2017-10-12 12:52:02,Stifel,Hold,,main
2017-09-15 15:05:34,BMO Capital,Outperform,,main
2017-07-21 10:52:32,Baird,Neutral,Outperform,down
2017-07-21 10:07:01,RBC Capital,Underperform,Sector Perform,down
2017-01-25 11:28:14,Wunderlich Securities,Hold,Buy,down
2017-01-12 14:04:56,BMO Capital,Outperform,Market Perform,up
2016-12-21 13:17:17,Cleveland Research,Neutral,,init
2016-09-30 10:10:57,Jefferies,Hold,,init
2016-09-13 11:50:38,Baird,Outperform,,main
2016-09-12 15:58:16,Keybanc,Sector Weight,Overweight,down
2016-09-09 07:45:30,Bernstein,Market Perform,,init
2016-08-31 13:12:50,Northcoast Research,Neutral,Buy,down
2016-08-30 10:25:18,Citigroup,Buy,,main
2016-08-29 11:08:18,Citigroup,Buy,,main
2016-07-12 11:44:21,Raymond James,Market Perform,Strong Buy,down
2016-06-10 11:39:07,Longbow Research,Underperform,Neutral,down
2016-04-22 10:51:27,B. Riley Securities,Neutral,Buy,down
2016-04-14 10:24:44,Stifel,Hold,Buy,down
2016-04-04 10:09:27,Citigroup,Buy,,main
2016-03-29 07:48:19,RBC Capital,Sector Perform,Outperform,down
2016-03-15 12:27:52,Lake Street,Buy,,init
2016-03-01 12:39:53,Sterne Agee,Neutral,,init
2016-01-28 17:35:08,BMO Capital,Market Perform,,main
2015-12-17 15:50:20,CL King,Neutral,Buy,down
2015-12-07 11:22:47,UBS,Neutral,Buy,down
2015-12-04 11:55:57,Longbow Research,Underperform,Neutral,down
2015-11-17 11:43:50,Wedbush,Neutral,Outperform,down
2015-10-22 09:39:49,Wells Fargo,Market Perform,Buy,down
2015-09-24 17:35:25,SunTrust Robinson Humphrey,Neutral,,main
2015-09-09 08:53:29,Longbow Research,Neutral,,down
2015-09-03 09:51:22,RBC Capital,Outperform,Sector Perform,up
2015-07-29 08:18:22,Wunderlich Securities,Buy,,main
2015-07-23 11:37:53,RBC Capital,Sector Perform,Outperform,down
2015-07-06 11:12:52,JP Morgan,Neutral,,init
2015-07-02 13:19:21,CL King,Buy,,init
2015-04-28 13:00:00,Citigroup,Buy,,main
2015-03-31 13:00:00,BMO Capital,Market Perform,,main
2015-03-25 11:09:53,Stifel,Buy,,init
2015-02-20 11:17:02,BB&T Capital,Buy,,init
2015-02-09 14:00:00,Citigroup,Buy,,main
2015-01-09 05:00:00,BMO Capital,Market Perform,Outperform,down
2014-12-12 05:00:00,Wedbush,Outperform,,init
2014-11-07 14:00:00,Citigroup,Buy,,main
2014-09-26 10:39:15,Wunderlich Securities,Buy,,init
2014-07-30 01:25:02,Citigroup,Buy,,main
2014-06-25 13:23:46,Stephens & Co.,Overweight,,init
2014-06-24 20:14:08,RBC Capital,Outperform,,init
2014-05-16 01:32:13,UBS,Buy,,main
2014-04-29 01:46:58,Citigroup,Buy,,main
2014-01-29 13:00:00,B. Riley Securities,Buy,Neutral,up
2013-10-04 12:48:36,UBS,Buy,,main
2013-08-02 12:09:52,Longbow Research,Buy,Neutral,up
2013-07-02 12:30:25,UBS,Buy,,init
2013-01-28 15:10:43,B. Riley Securities,Neutral,Buy,down
2013-01-15 14:17:16,SunTrust Robinson Humphrey,Neutral,,init
2012-11-14 17:49:00,Wedbush,Outperform,Neutral,up
2012-10-18 17:28:00,Wedbush,Neutral,,main
2012-09-21 11:16:00,Stephens & Co.,Equal-Weight,,init
2012-07-25 17:53:00,Citigroup,Buy,,main
2012-07-24 19:33:00,Feltl & Co.,Buy,,main
2012-04-18 16:57:00,Feltl & Co.,Buy,,main
2012-04-18 16:54:00,Wedbush,Neutral,,main
2012-02-17 11:14:00,Oxen Group,Hold,,init
