Date,Close,High,Low,Open,Volume
2025-03-19 00:00:00,6.349999904632568,6.925000190734863,6.25,6.25,54416.0
2025-03-20 00:00:00,6.224999904632568,6.75,6.025000095367432,6.599999904632568,26100.0
2025-03-21 00:00:00,5.775000095367432,6.349999904632568,4.900000095367432,6.25,110624.0
2025-03-24 00:00:00,6.039999961853027,6.090000152587891,5.079999923706055,5.75,134700.0
2025-03-25 00:00:00,5.409999847412109,6.300000190734863,5.380000114440918,5.929999828338623,45100.0
2025-03-26 00:00:00,5.130000114440918,5.420000076293945,5.019000053405762,5.28000020980835,52900.0
2025-03-27 00:00:00,5.380000114440918,5.446000099182129,5.165999889373779,5.210000038146973,36600.0
2025-03-28 00:00:00,5.0,5.380000114440918,4.989999771118164,5.329999923706055,17700.0
2025-03-31 00:00:00,4.760000228881836,4.920000076293945,4.409999847412109,4.920000076293945,23500.0
2025-04-01 00:00:00,4.760000228881836,4.96999979019165,4.695000171661377,4.909999847412109,20500.0
2025-04-02 00:00:00,4.670000076293945,4.697999954223633,4.400000095367432,4.630000114440918,42000.0
2025-04-03 00:00:00,4.550000190734863,4.610000133514404,4.400000095367432,4.420000076293945,30300.0
2025-04-04 00:00:00,4.369999885559082,4.570000171661377,4.289999961853027,4.480000019073486,29500.0
2025-04-07 00:00:00,4.789999961853027,4.789999961853027,4.019999980926514,4.119999885559082,36700.0
2025-04-08 00:00:00,4.71999979019165,5.25,4.5,4.980000019073486,40700.0
2025-04-09 00:00:00,5.045000076293945,5.139999866485596,4.511000156402588,4.840000152587891,27600.0
2025-04-10 00:00:00,5.119999885559082,7.550000190734863,4.610000133514404,4.860000133514404,428800.0
2025-04-11 00:00:00,5.570000171661377,5.610000133514404,4.889999866485596,5.0,41900.0
2025-04-14 00:00:00,5.210000038146973,6.125,5.110000133514404,5.769999980926514,144500.0
2025-04-15 00:00:00,5.110000133514404,5.989999771118164,5.0,5.099999904632568,36300.0
2025-04-16 00:00:00,5.611000061035156,5.699999809265137,5.099999904632568,5.28000020980835,172600.0
2025-04-17 00:00:00,5.510000228881836,5.619999885559082,5.296999931335449,5.460000038146973,10300.0
2025-04-21 00:00:00,5.630000114440918,5.739999771118164,5.519999980926514,5.599999904632568,15800.0
2025-04-22 00:00:00,6.099999904632568,6.099999904632568,5.659999847412109,5.849999904632568,33700.0
2025-04-23 00:00:00,6.670000076293945,6.849999904632568,6.210000038146973,6.210000038146973,88000.0
2025-04-24 00:00:00,8.0600004196167,8.607000350952148,6.78000020980835,6.78000020980835,59700.0
2025-04-25 00:00:00,10.90999984741211,15.479999542236328,8.220000267028809,8.220000267028809,2979600.0
2025-04-28 00:00:00,10.670000076293945,11.199999809265137,9.699999809265137,10.979999542236328,201400.0
2025-04-29 00:00:00,11.989999771118164,13.119000434875488,10.59000015258789,11.579999923706055,347600.0
2025-04-30 00:00:00,12.239999771118164,13.25,10.407999992370605,12.399999618530273,225600.0
2025-05-01 00:00:00,11.869999885559082,12.739999771118164,11.288999557495117,11.90999984741211,108300.0
