Price,Close,High,Low,Open,Volume
Ticker,DCX,DCX,DCX,DCX,DCX
Date,,,,,
2024-12-12,202.3000030517578,202.3000030517578,190.0,201.0,45
2024-12-13,190.0,207.0,190.0,207.0,87
2024-12-16,192.0,195.0,190.0,190.1999969482422,49
2024-12-17,192.0,198.39999389648438,192.0,192.0,16
2024-12-18,195.0,203.0,195.0,203.0,37
2024-12-19,199.3000030517578,207.0,193.0,199.89999389648438,433
2024-12-20,205.0,221.0,193.0,193.0,264
2024-12-23,218.0,240.0,205.0,205.0,505
2024-12-24,222.0,250.0,219.0,222.8000030517578,246
2024-12-26,243.1999969482422,255.0,228.0,230.0,246
2024-12-27,230.0,247.39999389648438,216.0,247.39999389648438,200
2024-12-30,246.0,250.0,221.0,226.0,267
2024-12-31,232.0,263.0,232.0,236.0,149
2025-01-02,227.0,231.5,224.0,231.5,187
2025-01-03,214.0,239.0,211.0,238.0,282
2025-01-06,216.0,233.0,210.0,223.0,94
2025-01-07,215.0,229.0,215.0,229.0,108
2025-01-08,200.0,201.0,193.0,200.0,85
2025-01-10,203.0,208.0,203.0,208.0,2672
2025-01-13,191.0,199.8000030517578,180.0,196.0,370
2025-01-14,172.0,182.0,165.0,180.0,264
2025-01-15,166.0,172.10000610351562,165.0,172.0,92
2025-01-16,174.0,174.5,166.0,166.0,81
2025-01-17,175.5,181.0,170.0,171.5,7305
2025-01-21,210.0,299.0,177.10000610351562,180.0,18799
2025-01-22,177.0,192.0,171.0,190.0,898
2025-01-23,170.0,175.89999389648438,159.0,171.0,317
2025-01-24,163.0,174.0,160.0,170.0,158
2025-01-27,153.1999969482422,179.0,150.0,163.0,387
2025-01-28,157.0,167.5,151.0,152.0,210
2025-01-29,152.0,166.8000030517578,152.0,164.0,136
2025-01-30,162.0,166.0,154.0,154.0,30
2025-01-31,174.0,174.0,154.0,155.0,85
2025-02-03,168.0,168.89999389648438,158.10000610351562,168.0,51
2025-02-04,171.0,172.0,157.0,157.0,71
2025-02-05,167.0,172.0,163.1999969482422,169.0,77
2025-02-06,177.0,183.0,169.0,172.0,410
2025-02-07,172.0,177.8000030517578,169.0,177.0,77
2025-02-10,173.5,183.0,170.0,183.0,37
2025-02-11,178.0,178.0,157.0,170.0,145
2025-02-12,175.89999389648438,177.5,175.0,176.0,32
2025-02-13,175.89999389648438,175.89999389648438,175.89999389648438,175.89999389648438,0
2025-02-14,175.0,177.0,165.0,168.0,107
2025-02-18,179.39999389648438,186.0,162.0,162.0,71
2025-02-19,181.3000030517578,181.3000030517578,179.0,181.0,26
2025-02-20,183.0,184.0,177.6999969482422,180.0,43
2025-02-21,179.0,188.0,179.0,188.0,45
2025-02-24,186.0,186.0,180.0,180.0,31
2025-02-25,179.0,185.0,179.0,184.0,31
2025-02-26,170.0,175.0,169.0,169.0,65
2025-02-27,151.0,179.0,151.0,168.1999969482422,215
2025-02-28,127.0,148.0,127.0,148.0,268
2025-03-03,135.1999969482422,153.0,126.0,126.0,23
2025-03-04,128.0,135.0,127.0,135.0,15
2025-03-05,127.0,144.0,126.0,128.0,76
2025-03-06,132.0,139.89999389648438,127.0,127.0,14
2025-03-07,127.0,134.0,127.0,132.0,35
2025-03-10,118.0,125.0,109.19999694824219,125.0,48
2025-03-11,118.19999694824219,120.0,118.0,118.0,26
2025-03-12,115.0,126.0,115.0,115.0,77
2025-03-13,116.0,124.0,116.0,119.0,32
2025-03-14,118.0,127.0,115.0,115.0,32
2025-03-17,116.0,116.5,116.0,116.5,7
2025-03-18,162.0,168.5,116.0,118.0,1410
2025-03-19,165.0,188.0,142.0,160.0,1684
2025-03-20,176.0,204.0,156.0,170.0,4987
2025-03-21,181.0,185.0,170.0,170.0,176
2025-03-24,160.0,180.0,160.0,173.0,880
2025-03-25,165.0,174.0,162.0,163.0,172
2025-03-26,162.0,165.0,160.0,160.0,25
2025-03-27,169.0,169.0,162.8000030517578,163.0,26
2025-03-28,173.0,190.0,136.0,150.0,3204
2025-03-31,184.0,206.0,161.0,165.0,2402
2025-04-01,166.0,188.0,161.0,187.0,64
2025-04-02,173.0,190.0,150.0,156.0,1919
2025-04-03,168.0,209.0,159.0,168.0,9936
2025-04-04,150.0,172.0,145.60000610351562,152.0,652
2025-04-07,183.0,193.0,146.0,146.0,16679
2025-04-08,181.0,205.0,171.0,171.0,970
2025-04-09,187.0,193.0,174.0,179.0,134
2025-04-10,188.0,194.0,179.5,194.0,80
2025-04-11,187.0,194.0,174.0,180.0,218
2025-04-14,195.0,209.89999389648438,181.0,200.0,260
2025-04-15,193.0,196.0,182.39999389648438,188.0,101
2025-04-16,188.0,194.0,188.0,191.0,28
2025-04-17,186.0,195.0,175.1999969482422,189.0,59
2025-04-21,175.0,175.0,175.0,175.0,3
2025-04-22,185.0,200.0,168.0,200.0,66
2025-04-23,179.0,199.60000610351562,177.0,193.0,150
2025-04-24,195.39999389648438,196.0,177.0,190.0,125
2025-04-25,196.0,198.0,181.5,191.0,78
2025-04-28,191.0,208.0,177.60000610351562,177.60000610351562,259
2025-04-29,198.0,199.0,198.0,199.0,4
2025-04-30,191.0,201.0,167.0,177.0,542
2025-05-01,195.0,208.1999969482422,178.0,187.0,34
2025-05-02,197.0,200.0,176.0,195.0,22
2025-05-05,200.0,202.0,192.0,202.0,9
2025-05-06,190.0,207.0,190.0,207.0,27
2025-05-07,185.0,197.0,180.0,196.0,35
2025-05-08,192.1999969482422,192.1999969482422,172.0,184.0,35
2025-05-09,174.3000030517578,190.0,169.0,172.0,249
2025-05-12,215.0,217.0,168.60000610351562,168.60000610351562,5095
2025-05-13,205.0,244.0,193.0,214.0,3926
2025-05-14,214.0,224.5,200.0,224.0,778
2025-05-15,202.0,215.10000610351562,193.0,215.10000610351562,131
2025-05-16,199.0,201.0,195.0,199.0,30
2025-05-19,196.0,196.0,191.10000610351562,194.0,58
2025-05-20,199.0,203.0,194.0,203.0,24
2025-05-21,182.0,206.0,182.0,206.0,116
2025-05-22,176.0,180.0,170.0,180.0,112
2025-05-23,174.0,176.0,161.0,176.0,38
2025-05-27,165.0,168.3000030517578,155.0,159.0,21
2025-05-28,167.0,168.0,151.0,158.5,28
2025-05-29,155.0,169.0,155.0,167.0,112
2025-05-30,168.0,168.0,152.0,152.0,9
2025-06-02,164.3000030517578,167.0,164.3000030517578,167.0,9
2025-06-03,162.3000030517578,172.0,162.0,165.0,42
2025-06-04,163.5,168.0,163.0,163.0,15
2025-06-05,179.0,180.0,171.0,171.0,18
2025-06-06,178.0,185.0,167.0,185.0,10
2025-06-09,164.0,180.0,164.0,170.0,148
2025-06-10,174.0,174.0,169.0,169.0,17
2025-06-11,175.0,182.0,175.0,176.0,10
2025-06-12,160.0,175.0,159.0,171.0,81
2025-06-13,160.0,160.0,160.0,160.0,0
2025-06-16,162.0,162.0,159.0,161.0,16
2025-06-17,154.0,163.0,153.0,162.0,26
2025-06-18,147.0,154.0,147.0,154.0,20
2025-06-20,161.5,163.0,144.0,161.0,233
2025-06-23,170.8000030517578,172.0,169.0,172.0,18
2025-06-24,181.0,181.0,171.0,172.0,157
2025-06-25,198.39999389648438,218.1999969482422,182.3000030517578,183.0,195
2025-06-26,197.0,200.0,189.0,190.0,47
2025-06-27,218.0,220.0,192.0,199.0,106
2025-06-30,202.0,219.0,194.0,219.0,99
2025-07-01,207.0,210.0,196.10000610351562,204.0,34
2025-07-02,212.0,216.0,192.8000030517578,216.0,21
2025-07-03,216.0,217.0,216.0,216.0,5
2025-07-07,202.0,206.0,186.0,187.0,79
2025-07-08,202.0,210.0,202.0,210.0,28
2025-07-09,205.0,205.0,200.0,202.0,16
2025-07-10,209.0,210.0,191.60000610351562,206.0,53
2025-07-11,245.5,250.0,216.0,216.1999969482422,543
2025-07-14,264.0,272.20001220703125,238.10000610351562,241.0,288
2025-07-15,255.0,274.0,232.0,270.0,158
2025-07-16,278.5,286.0,232.0,286.0,179
2025-07-17,250.0,282.0,228.5,265.0,123
2025-07-18,261.0,280.0,255.0,255.0,44
2025-07-21,234.0,285.0,227.0,270.0,191
2025-07-22,265.0,275.0,250.0,250.0,35
2025-07-23,250.60000610351562,277.0,250.0,260.0,39
2025-07-24,259.0,276.0,259.0,263.0,46
2025-07-25,262.0,270.0,248.0,269.0,32
2025-07-28,265.0,268.0,220.39999389648438,220.39999389648438,46
2025-07-29,270.0,270.0,235.5,270.0,108
2025-07-30,263.0,263.0,232.0,232.0,23
2025-07-31,262.0,266.3999938964844,252.5,252.5,12
2025-08-01,260.0,270.0,240.0,260.0,71
2025-08-04,250.0,268.0,189.0,266.0,142
2025-08-05,248.3000030517578,284.0,225.0,238.0,461
2025-08-06,182.0,208.5,145.0,208.0,5295
2025-08-07,185.0,186.0,156.0,161.0,239
2025-08-08,164.0,183.0,163.60000610351562,163.60000610351562,198
2025-08-11,182.0,197.0,159.0,163.5,321
2025-08-12,182.0,191.0,170.0,176.0,83
2025-08-13,171.0,178.10000610351562,171.0,178.10000610351562,18
2025-08-14,172.0,172.0,164.0,165.0,278
2025-08-15,148.0,169.0,148.0,157.0,309
2025-08-18,169.0,170.0,152.0,164.0,261
2025-08-19,162.0,170.0,160.0,160.0,37
2025-08-20,178.0,179.0,160.10000610351562,168.0,185
2025-08-21,161.0,167.0,161.0,161.0,266
2025-08-22,148.0,163.0,148.0,157.0,261
2025-08-25,165.5,175.0,153.0,157.0,281
2025-08-26,169.0,169.0,159.10000610351562,161.5,24
2025-08-27,174.0,179.0,174.0,174.0,164
2025-08-28,175.39999389648438,176.0,171.0,171.0,59
2025-08-29,176.0,178.0,176.0,178.0,49
2025-09-02,59.0,164.0,53.0,164.0,37338
2025-09-03,24.5,28.0,20.100000381469727,21.399999618530273,480196
2025-09-04,18.100000381469727,20.899999618530273,17.5,20.899999618530273,149222
2025-09-05,15.600000381469727,17.5,15.0,17.0,107670
2025-09-08,14.699999809265137,15.699999809265137,14.399999618530273,15.199999809265137,49241
2025-09-09,12.800000190734863,15.0,12.300000190734863,14.5,134028
2025-09-10,11.699999809265137,14.399999618530273,10.800000190734863,13.0,120656
2025-09-11,12.300000190734863,13.0,11.0,11.699999809265137,70329
2025-09-12,12.5,13.399999618530273,12.100000381469727,12.100000381469727,74259
2025-09-15,11.5,12.899999618530273,11.300000190734863,12.600000381469727,104898
2025-09-16,11.5,12.399999618530273,7.800000190734863,9.300000190734863,530491
2025-09-17,9.300000190734863,11.5,9.100000381469727,10.800000190734863,116131
2025-09-18,10.100000381469727,10.899999618530273,9.399999618530273,10.0,566692
2025-09-19,29.100000381469727,34.099998474121094,14.199999809265137,18.299999237060547,17003298
2025-09-22,19.0,22.600000381469727,15.5,22.600000381469727,904140
2025-09-23,15.0,18.299999237060547,15.0,18.0,254989
2025-09-24,16.700000762939453,20.899999618530273,15.0,16.0,607589
2025-09-25,16.200000762939453,16.600000381469727,15.5,15.699999809265137,117164
2025-09-26,17.899999618530273,21.399999618530273,16.799999237060547,21.299999237060547,1487030
2025-09-29,17.0,20.0,17.0,19.0,194542
2025-09-30,16.200000762939453,18.899999618530273,16.0,17.299999237060547,106162
2025-10-01,15.5,50.79999923706055,15.0,45.400001525878906,12185744
2025-10-02,17.0,18.700000762939453,16.5,18.399999618530273,1873853
2025-10-03,16.899999618530273,18.100000381469727,16.600000381469727,17.899999618530273,672753
2025-10-06,15.800000190734863,17.100000381469727,15.600000381469727,16.700000762939453,475772
2025-10-07,14.600000381469727,15.600000381469727,14.5,15.600000381469727,467727
2025-10-08,15.199999809265137,16.0,14.5,15.199999809265137,311310
2025-10-09,15.0,15.199999809265137,14.199999809265137,15.199999809265137,267680
2025-10-10,12.800000190734863,14.399999618530273,12.5,14.300000190734863,306894
2025-10-13,12.300000190734863,12.800000190734863,11.800000190734863,12.300000190734863,174939
2025-10-14,11.899999618530273,12.5,11.800000190734863,12.0,143981
2025-10-15,11.699999809265137,12.800000190734863,11.300000190734863,12.100000381469727,171273
2025-10-16,11.199999809265137,12.300000190734863,11.0,12.199999809265137,149354
2025-10-17,10.300000190734863,11.0,10.0,10.899999618530273,129385
2025-10-20,10.199999809265137,11.0,10.100000381469727,10.5,102825
2025-10-21,8.100000381469727,9.0,7.699999809265137,9.0,392963
2025-10-22,9.800000190734863,10.399999618530273,9.100000381469727,9.5,439765
2025-10-23,9.0,9.5,8.800000190734863,9.5,156459
2025-10-24,11.5,12.199999809265137,8.600000381469727,8.600000381469727,890874
2025-10-27,11.199999809265137,11.800000190734863,9.600000381469727,11.5,291224
2025-10-28,10.0,11.600000381469727,10.0,11.0,177944
2025-10-29,6.0,10.699999809265137,5.400000095367432,10.0,627539
2025-10-30,5.400000095367432,6.099999904632568,5.300000190734863,5.699999809265137,214432
2025-10-31,4.900000095367432,5.699999809265137,4.599999904632568,5.0,602670
2025-11-03,3.8299999237060547,4.519999980926514,3.5999999046325684,4.480000019073486,252300
2025-11-04,3.1600000858306885,3.249000072479248,2.7699999809265137,3.2200000286102295,284500
2025-11-05,3.0899999141693115,3.5999999046325684,2.990000009536743,3.009999990463257,168500
2025-11-06,2.880000114440918,3.062999963760376,2.799999952316284,3.0199999809265137,81400
2025-11-07,2.5,2.799999952316284,2.430000066757202,2.799999952316284,132000
2025-11-10,2.5429999828338623,2.5999999046325684,2.5,2.549999952316284,58600
2025-11-11,2.4200000762939453,2.5399999618530273,2.359999895095825,2.5299999713897705,82700
2025-11-12,2.2699999809265137,2.359999895095825,2.2360000610351562,2.2799999713897705,88000
2025-11-13,2.9000000953674316,3.380000114440918,2.25,2.25,2081000
2025-11-14,2.7799999713897705,2.869999885559082,2.2899999618530273,2.2899999618530273,261700
2025-11-17,2.440000057220459,2.680000066757202,2.359999895095825,2.680000066757202,95700
2025-11-18,2.4000000953674316,2.4170000553131104,2.299999952316284,2.4100000858306885,46700
2025-11-19,1.9600000381469727,2.4000000953674316,1.9199999570846558,2.2899999618530273,92300
2025-11-20,1.9600000381469727,2.049999952316284,1.909999966621399,1.9900000095367432,149300
2025-11-21,1.899999976158142,1.9700000286102295,1.5700000524520874,1.9199999570846558,103000
2025-11-24,1.2699999809265137,3.240000009536743,1.1699999570846558,2.4600000381469727,46726900
2025-11-25,1.2000000476837158,1.25,1.1399999856948853,1.2300000190734863,783600
2025-11-26,1.190000057220459,1.2799999713897705,1.149999976158142,1.25,6308300
2025-11-28,1.149999976158142,1.2300000190734863,1.149999976158142,1.190000057220459,544100
2025-12-01,1.1200000047683716,1.1799999475479126,1.062000036239624,1.1100000143051147,660800
2025-12-02,1.059999942779541,1.1200000047683716,1.0399999618530273,1.100000023841858,407900
2025-12-03,1.0,1.0800000429153442,0.9900000095367432,1.0700000524520874,441700
2025-12-04,0.953000009059906,1.0199999809265137,0.9340000152587891,1.0199999809265137,448800
2025-12-05,0.9049999713897705,0.9580000042915344,0.8999999761581421,0.953000009059906,313900
2025-12-08,0.8299999833106995,0.9340000152587891,0.8199999928474426,0.9300000071525574,434800
2025-12-09,0.8700000047683716,0.9020000100135803,0.8209999799728394,0.9020000100135803,858300
2025-12-10,0.7599999904632568,0.8349999785423279,0.7509999871253967,0.8299999833106995,556900
2025-12-11,0.7689999938011169,0.8100000023841858,0.7300000190734863,0.7699999809265137,2589700
2025-12-12,0.7059999704360962,0.75,0.6579999923706055,0.75,525100
2025-12-15,0.6539999842643738,0.7099999785423279,0.625,0.699999988079071,618700
2025-12-16,0.652999997138977,0.6660000085830688,0.6309999823570251,0.6370000243186951,250900
2025-12-17,0.6650000214576721,0.6700000166893005,0.6430000066757202,0.6449999809265137,103500
2025-12-18,0.5799999833106995,0.6650000214576721,0.5580000281333923,0.6639999747276306,291300
2025-12-19,0.5529999732971191,0.5649999976158142,0.5199999809265137,0.5649999976158142,230100
2025-12-22,0.5080000162124634,0.550000011920929,0.49900001287460327,0.5360000133514404,379300
2025-12-23,0.48500001430511475,0.5,0.47999998927116394,0.5,131822
