Date,Close,High,Low,Open,Volume,"('Close', 'BTQ')","('High', 'BTQ')","('Low', 'BTQ')","('Open', 'BTQ')","('Volume', 'BTQ')"
2025-11-26,,,,,,6.75,7.039999961853027,6.579999923706055,7.039999961853027,2176900.0
2025-11-28,,,,,,7.03000020980835,7.340000152587891,6.820000171661377,6.929999828338623,2057700.0
2025-12-01,,,,,,6.599999904632568,6.800000190734863,6.420000076293945,6.760000228881836,2234100.0
2025-12-02,,,,,,6.119999885559082,6.775000095367432,6.110000133514404,6.599999904632568,2498200.0
2025-12-03,,,,,,6.659999847412109,6.71999979019165,6.019999980926514,6.25,1972200.0
2025-12-04,,,,,,7.110000133514404,7.190000057220459,6.400000095367432,6.579999923706055,2996800.0
2025-12-05,,,,,,6.539999961853027,7.059999942779541,6.520999908447266,7.059999942779541,2414200.0
2025-12-08,,,,,,6.599999904632568,6.675000190734863,6.190000057220459,6.539999961853027,2070200.0
2025-12-09,,,,,,6.849999904632568,7.21999979019165,6.199999809265137,6.489999771118164,4365600.0
2025-12-10,,,,,,6.639999866485596,6.909999847412109,6.380000114440918,6.670000076293945,2049100.0
2025-12-11,,,,,,6.380000114440918,6.639999866485596,6.21999979019165,6.510000228881836,2373600.0
2025-12-12,,,,,,5.900000095367432,6.343999862670898,5.840000152587891,6.340000152587891,2917200.0
2025-12-15,,,,,,6.340000152587891,6.550000190734863,5.949999809265137,5.949999809265137,4835900.0
2025-12-16,,,,,,6.610000133514404,7.059999942779541,6.099999904632568,6.130000114440918,3946700.0
2025-12-17,,,,,,6.360000133514404,7.070000171661377,6.349999904632568,6.769999980926514,2835600.0
2025-12-18,,,,,,6.460000038146973,6.949999809265137,6.389999866485596,6.389999866485596,2693100.0
2025-12-19,,,,,,6.380000114440918,6.809999942779541,6.230000019073486,6.510000228881836,9739900.0
2025-12-22,,,,,,6.400000095367432,6.559999942779541,6.179999828338623,6.449999809265137,3508800.0
2025-12-23,,,,,,6.079999923706055,6.299600124359131,6.03000020980835,6.190000057220459,925083.0
