Date,Close,High,Low,Open,Volume,"('Close', 'CCHH')","('High', 'CCHH')","('Low', 'CCHH')","('Open', 'CCHH')","('Volume', 'CCHH')"
2025-11-10,,,,,,4.690000057220459,4.699999809265137,4.590000152587891,4.659999847412109,53000.0
2025-11-11,,,,,,4.630000114440918,4.670000076293945,4.519999980926514,4.539999961853027,44200.0
2025-11-12,,,,,,5.199999809265137,5.5,4.71999979019165,4.769999980926514,1133100.0
2025-11-13,,,,,,5.739999771118164,5.800000190734863,5.099999904632568,5.230000019073486,957500.0
2025-11-14,,,,,,5.869999885559082,5.980000019073486,5.5,5.699999809265137,1019100.0
2025-11-17,,,,,,5.760000228881836,6.059999942779541,5.659999847412109,5.809999942779541,171600.0
2025-11-18,,,,,,6.010000228881836,6.110000133514404,5.159999847412109,5.75,2126200.0
2025-11-19,,,,,,6.079999923706055,7.559999942779541,5.75,6.0,3135700.0
2025-11-20,,,,,,7.75,8.210000038146973,5.400000095367432,5.929999828338623,802100.0
2025-11-21,,,,,,9.760000228881836,10.520000457763672,7.75,7.760000228881836,378100.0
2025-11-24,,,,,,9.390000343322754,10.949999809265137,6.130000114440918,9.829999923706055,255300.0
2025-11-25,,,,,,9.529999732971191,9.699999809265137,8.800000190734863,8.90999984741211,354300.0
2025-11-26,,,,,,9.899999618530273,10.300000190734863,9.0,9.109999656677246,1637900.0
2025-11-28,,,,,,10.550000190734863,10.800000190734863,9.800000190734863,9.899999618530273,153000.0
2025-12-01,,,,,,9.989999771118164,10.40999984741211,9.359999656677246,10.0600004196167,1345100.0
2025-12-02,,,,,,10.380000114440918,10.800000190734863,9.390000343322754,9.390000343322754,142400.0
2025-12-03,,,,,,10.470000267028809,10.677000045776367,10.020000457763672,10.050000190734863,572900.0
2025-12-04,,,,,,10.479999542236328,10.699999809265137,10.013999938964844,10.289999961853027,125300.0
2025-12-05,,,,,,11.470000267028809,12.260000228881836,10.260000228881836,10.260000228881836,124300.0
2025-12-08,,,,,,13.039999961853027,13.529999732971191,11.510000228881836,12.15999984741211,188400.0
2025-12-09,,,,,,14.550000190734863,14.550000190734863,12.800000190734863,13.220000267028809,162900.0
2025-12-10,,,,,,13.989999771118164,14.649999618530273,13.619999885559082,14.380000114440918,830700.0
2025-12-11,,,,,,15.119999885559082,15.390000343322754,14.0,14.239999771118164,6151000.0
2025-12-12,,,,,,2.6500000953674316,15.149999618530273,1.600000023841858,14.779999732971191,6873300.0
2025-12-15,,,,,,1.0199999809265137,1.6699999570846558,0.7699999809265137,1.659999966621399,6162400.0
2025-12-16,,,,,,0.7200000286102295,0.9390000104904175,0.6499999761581421,0.9390000104904175,2442100.0
2025-12-17,,,,,,0.6850000023841858,1.059999942779541,0.6499999761581421,0.6800000071525574,4890100.0
2025-12-18,,,,,,0.6129999756813049,0.7490000128746033,0.5339999794960022,0.699999988079071,1227400.0
2025-12-19,,,,,,0.6100000143051147,0.6349999904632568,0.5899999737739563,0.6069999933242798,473000.0
2025-12-22,,,,,,0.5400000214576721,0.6010000109672546,0.5299999713897705,0.6000000238418579,622600.0
2025-12-23,,,,,,0.5152000188827515,0.5196999907493591,0.5,0.5,146063.0
