Date,Close,High,Low,Open,Volume,"('Close', 'CETX')","('High', 'CETX')","('Low', 'CETX')","('Open', 'CETX')","('Volume', 'CETX')"
2024-12-09,55.5,57.75,48.900001525878906,51.0,164280.0,,,,,
2024-12-10,49.5,52.5,48.150001525878906,51.29999923706055,24353.0,,,,,
2024-12-11,49.5,50.80500030517578,45.900001525878906,49.650001525878906,12887.0,,,,,
2024-12-12,48.900001525878906,53.09999847412109,47.25,49.95000076293945,36187.0,,,,,
2024-12-13,50.775001525878906,52.34999847412109,46.5,47.54999923706055,32780.0,,,,,
2024-12-16,48.45000076293945,53.09999847412109,46.79999923706055,52.20000076293945,341000.0,,,,,
2024-12-17,47.400001525878906,49.5,46.20000076293945,48.0,26013.0,,,,,
2024-12-18,44.09999847412109,47.84999847412109,43.20000076293945,46.20000076293945,17127.0,,,,,
2024-12-19,47.54999923706055,48.75,44.25,45.900001525878906,12940.0,,,,,
2024-12-20,50.09999847412109,53.25,45.59999847412109,47.25,27573.0,,,,,
2024-12-23,44.70000076293945,47.09999847412109,43.20000076293945,44.84999847412109,17200.0,,,,,
2024-12-24,44.09999847412109,45.75,42.0,44.70000076293945,6780.0,,,,,
2024-12-26,46.20000076293945,47.09999847412109,43.5,44.09999847412109,7300.0,,,,,
2024-12-27,46.04999923706055,47.25,42.150001525878906,47.25,9447.0,,,,,
2024-12-30,46.95000076293945,48.150001525878906,44.54999923706055,45.0,52713.0,,,,,
2024-12-31,43.34999847412109,51.28499984741211,42.29999923706055,49.34999847412109,44893.0,,,,,
2025-01-02,42.59999847412109,45.45000076293945,42.150001525878906,43.5,17833.0,,,,,
2025-01-03,47.84999847412109,48.59999847412109,42.45000076293945,43.34999847412109,17053.0,,,,,
2025-01-06,47.25,55.5,46.51499938964844,48.59999847412109,53973.0,,,,,
2025-01-07,49.650001525878906,51.29999923706055,47.400001525878906,48.150001525878906,12513.0,,,,,
2025-01-08,47.54999923706055,49.095001220703125,45.0,48.29999923706055,10387.0,,,,,
2025-01-10,46.34999847412109,48.75,45.150001525878906,48.0,5873.0,,,,,
2025-01-13,43.42499923706055,46.20000076293945,42.525001525878906,45.900001525878906,5947.0,,,,,
2025-01-14,45.150001525878906,46.04999923706055,43.5,43.5,3300.0,,,,,
2025-01-15,46.34999847412109,47.685001373291016,44.54999923706055,47.54999923706055,9107.0,,,,,
2025-01-16,46.20000076293945,46.79999923706055,45.0,46.20000076293945,1733.0,,,,,
2025-01-17,43.79999923706055,48.0,42.900001525878906,46.5,6667.0,,,,,
2025-01-21,38.400001525878906,45.0,38.25,45.0,11613.0,,,,,
2025-01-22,40.04999923706055,40.5,36.0,39.900001525878906,10553.0,,,,,
2025-01-23,41.09999847412109,41.70000076293945,39.41999816894531,39.75,3287.0,,,,,
2025-01-24,41.400001525878906,41.95500183105469,40.04999923706055,40.34999847412109,1933.0,,,,,
2025-01-27,40.5,41.25,37.96500015258789,41.09999847412109,6573.0,,,,,
2025-01-28,39.45000076293945,40.77000045776367,38.25,39.900001525878906,3147.0,,,,,
2025-01-29,40.5,41.84999847412109,38.70000076293945,40.34999847412109,2273.0,,,,,
2025-01-30,39.59999847412109,39.75,37.650001525878906,39.584999084472656,3693.0,,,,,
2025-01-31,37.95000076293945,39.59999847412109,36.29999923706055,39.59999847412109,3827.0,,,,,
2025-02-03,36.59999847412109,37.5,34.5,36.150001525878906,3267.0,,,,,
2025-02-04,36.0,37.185001373291016,35.25,36.59999847412109,1720.0,,,,,
2025-02-05,34.95000076293945,36.0,34.650001525878906,35.70000076293945,1847.0,,,,,
2025-02-06,34.04999923706055,37.04999923706055,33.599998474121094,37.04999923706055,3807.0,,,,,
2025-02-07,34.5,34.88999938964844,33.150001525878906,34.04999923706055,2960.0,,,,,
2025-02-10,33.75,34.04999923706055,32.400001525878906,34.04999923706055,2760.0,,,,,
2025-02-11,33.150001525878906,34.5,33.0,33.75,2513.0,,,,,
2025-02-12,33.45000076293945,33.45000076293945,31.950000762939453,33.0,2207.0,,,,,
2025-02-13,32.25,33.45000076293945,32.099998474121094,33.150001525878906,2347.0,,,,,
2025-02-14,32.25,33.0,31.799999237060547,32.400001525878906,4920.0,,,,,
2025-02-18,29.700000762939453,38.84999847412109,29.100000381469727,38.70000076293945,206840.0,,,,,
2025-02-19,30.0,30.600000381469727,27.0,29.25,20013.0,,,,,
2025-02-20,30.0,31.049999237060547,29.25,29.700000762939453,5760.0,,,,,
2025-02-21,30.600000381469727,31.350000381469727,29.25,30.450000762939453,5533.0,,,,,
2025-02-24,30.299999237060547,31.049999237060547,29.489999771118164,30.299999237060547,3027.0,,,,,
2025-02-25,28.200000762939453,30.299999237060547,27.299999237060547,30.299999237060547,5033.0,,,,,
2025-02-26,27.75,28.200000762939453,27.149999618530277,27.299999237060547,2487.0,,,,,
2025-02-27,27.299999237060547,29.100000381469727,27.149999618530277,28.5,2900.0,,,,,
2025-02-28,25.649999618530277,27.0,24.809999465942383,27.0,7520.0,,,,,
2025-03-03,24.149999618530277,25.950000762939453,23.850000381469727,25.950000762939453,4787.0,,,,,
2025-03-04,22.799999237060547,24.0,22.350000381469727,24.0,3507.0,,,,,
2025-03-05,24.75,24.899999618530277,22.649999618530277,22.799999237060547,3867.0,,,,,
2025-03-06,24.299999237060547,24.299999237060547,22.799999237060547,24.299999237060547,2333.0,,,,,
2025-03-07,24.450000762939453,24.899999618530277,23.700000762939453,24.149999618530277,1073.0,,,,,
2025-03-10,23.850000381469727,24.600000381469727,23.100000381469727,24.450000762939453,1527.0,,,,,
2025-03-11,22.649999618530277,24.0,22.5,23.700000762939453,2540.0,,,,,
2025-03-12,25.799999237060547,26.684999465942383,22.950000762939453,22.950000762939453,5040.0,,,,,
2025-03-13,25.350000381469727,25.799999237060547,24.600000381469727,25.5,2200.0,,,,,
2025-03-14,25.350000381469727,25.799999237060547,24.149999618530277,25.649999618530277,680.0,,,,,
2025-03-17,25.049999237060547,26.040000915527344,24.75,25.799999237060547,1660.0,,,,,
2025-03-18,25.6200008392334,25.799999237060547,24.899999618530277,25.200000762939453,440.0,,,,,
2025-03-19,23.850000381469727,25.63500022888184,23.850000381469727,25.200000762939453,1100.0,,,,,
2025-03-20,24.149999618530277,25.200000762939453,23.850000381469727,25.200000762939453,1160.0,,,,,
2025-03-21,22.649999618530277,24.075000762939453,22.649999618530277,23.850000381469727,2607.0,,,,,
2025-03-24,22.9950008392334,23.700000762939453,22.950000762939453,22.950000762939453,627.0,,,,,
2025-03-25,23.399999618530277,25.799999237060547,22.950000762939453,22.950000762939453,6413.0,,,,,
2025-03-26,22.200000762939453,25.799999237060547,21.75,23.399999618530277,9087.0,,,,,
2025-03-27,24.450000762939453,25.049999237060547,22.200000762939453,22.200000762939453,8900.0,,,,,
2025-03-28,22.049999237060547,24.450000762939453,21.899999618530277,24.299999237060547,2027.0,,,,,
2025-03-31,22.049999237060547,22.049999237060547,21.0,21.299999237060547,1127.0,,,,,
2025-04-01,21.600000381469727,21.899999618530277,21.0,21.899999618530277,513.0,,,,,
2025-04-02,22.200000762939453,22.604999542236328,21.149999618530277,21.299999237060547,1680.0,,,,,
2025-04-03,19.799999237060547,22.049999237060547,19.649999618530277,21.600000381469727,3807.0,,,,,
2025-04-04,18.75,19.799999237060547,18.0,19.799999237060547,2140.0,,,,,
2025-04-07,19.649999618530277,19.649999618530277,17.25,18.600000381469727,3280.0,,,,,
2025-04-08,18.299999237060547,19.950000762939453,18.299999237060547,19.649999618530277,3040.0,,,,,
2025-04-09,19.950000762939453,20.100000381469727,17.114999771118164,18.450000762939453,7560.0,,,,,
2025-04-10,18.899999618530277,20.399999618530277,18.75,19.950000762939453,940.0,,,,,
2025-04-11,18.600000381469727,19.200000762939453,18.13500022888184,19.200000762939453,847.0,,,,,
2025-04-14,18.75,19.170000076293945,18.0,18.75,993.0,,,,,
2025-04-15,19.125,19.350000381469727,18.975000381469727,18.975000381469727,507.0,,,,,
2025-04-16,18.299999237060547,19.049999237060547,18.299999237060547,19.049999237060547,413.0,,,,,
2025-04-17,18.450000762939453,19.049999237060547,18.299999237060547,18.299999237060547,273.0,,,,,
2025-04-21,18.149999618530277,18.600000381469727,17.549999237060547,18.600000381469727,1007.0,,,,,
2025-04-22,18.0,18.450000762939453,17.325000762939453,18.149999618530277,1187.0,,,,,
2025-04-23,17.850000381469727,18.299999237060547,17.700000762939453,18.0,4680.0,,,,,
2025-04-24,20.100000381469727,22.950000762939453,18.0,18.0,17400.0,,,,,
2025-04-25,20.100000381469727,20.100000381469727,18.88500022888184,19.950000762939453,1833.0,,,,,
2025-04-28,21.299999237060547,24.450000762939453,19.649999618530277,19.799999237060547,44553.0,,,,,
2025-04-29,21.299999237060547,21.600000381469727,20.100000381469727,21.299999237060547,1820.0,,,,,
2025-04-30,20.25,20.850000381469727,19.5,20.25,2900.0,,,,,
