Date,Close,High,Low,Open,Volume,"('Close', 'AGRZ')","('High', 'AGRZ')","('Low', 'AGRZ')","('Open', 'AGRZ')","('Volume', 'AGRZ')"
2025-12-04,,,,,,2.700000047683716,3.0,2.309999942779541,2.359999895095825,285900.0
2025-12-05,,,,,,2.450000047683716,2.950000047683716,2.4000000953674316,2.6700000762939453,264500.0
2025-12-08,,,,,,2.369999885559082,2.5999999046325684,2.190000057220459,2.4700000286102295,199000.0
2025-12-09,,,,,,2.109999895095825,2.4000000953674316,2.0999999046325684,2.299999952316284,119200.0
2025-12-10,,,,,,2.25,2.359999895095825,2.109999895095825,2.140000104904175,152400.0
2025-12-11,,,,,,2.200000047683716,2.2780001163482666,2.109999895095825,2.240000009536743,99100.0
2025-12-12,,,,,,2.059999942779541,2.3499999046325684,2.059999942779541,2.1600000858306885,65600.0
2025-12-15,,,,,,1.9299999475479126,2.247999906539917,1.9199999570846558,2.1600000858306885,124600.0
2025-12-16,,,,,,2.0999999046325684,2.315999984741211,1.9459999799728394,2.0299999713897705,69700.0
2025-12-17,,,,,,2.109999895095825,2.359999895095825,2.109999895095825,2.180000066757202,138500.0
2025-12-18,,,,,,2.1500000953674316,2.25,2.069000005722046,2.240000009536743,177500.0
2025-12-19,,,,,,1.9199999570846558,2.1649999618530273,1.899999976158142,2.140000104904175,78500.0
2025-12-22,,,,,,1.8300000429153442,2.069999933242798,1.8300000429153442,2.009999990463257,209600.0
2025-12-23,,,,,,1.4800000190734863,1.7000000476837158,1.2272000312805176,1.7000000476837158,127096.0
